"CD_MUN","class_values","year","area_ha"
"2103406",33,2012,432.319162473767
"2103406",41,2012,0.980554446015507
"2103406",3,2013,77282.8601306315
"2103406",4,2013,18216.4861951879
"2103406",9,2013,138.025146806648
"2103406",11,2013,114.122256138411
"2103406",12,2013,14.8892328363957
"2103406",15,2013,319.351033719614
"2103406",20,2013,75.6851608365923
"2103406",21,2013,421.767339997074
"2103406",24,2013,771.03343428783
"2103406",25,2013,82.7343349286925
"2103406",33,2013,413.149708064494
"2103406",41,2013,0.980554446015507
"2103406",3,2015,77244.8744003426
"2103406",4,2015,18179.227315641
"2103406",9,2015,161.652648307472
"2103406",11,2015,114.92516091254
"2103406",12,2015,14.6219575505087
"2103406",15,2015,477.773620116329
"2103406",20,2015,96.5444892542683
"2103406",21,2015,319.15561082115
"2103406",24,2015,783.158867032079
"2103406",25,2015,74.7099873432273
"2103406",33,2015,383.81648137808
"2103406",41,2015,0.623989181505516
"2103406",3,2016,77200.4763724945
"2103406",4,2016,18142.2249666109
"2103406",9,2016,161.830968388232
"2103406",11,2016,118.045588175241
"2103406",12,2016,14.8894439092398
"2103406",15,2016,579.047745530503
"2103406",20,2016,91.4635104670297
"2103406",21,2016,287.511707602025
"2103406",24,2016,786.457708473747
"2103406",25,2016,67.3099845224276
"2103406",33,2016,400.489427058205
"2103406",39,2016,0.713115467092581
"2103406",41,2016,0.623989181505516
"2103406",3,2014,77263.5163695714
"2103406",4,2014,18195.4431130117
"2103406",9,2014,149.79426442809
"2103406",11,2014,114.746756909628
"2103406",12,2014,12.571266929586
"2103406",15,2014,444.96392379261
"2103406",20,2014,90.6615862086235
"2103406",21,2014,322.633467920509
"2103406",24,2014,779.414242015887
"2103406",25,2014,81.4864448764196
"2103406",33,2014,394.872537770023
"2103406",41,2014,0.980554446015507
"2103406",3,2018,77221.6130867248
"2103406",4,2018,17673.369982911
"2103406",9,2018,162.455121988717
"2103406",11,2018,115.282151702838
"2103406",12,2018,15.7813031265888
"2103406",15,2018,741.211271951505
"2103406",20,2018,202.186033995363
"2103406",21,2018,431.671387592425
"2103406",24,2018,794.303600880824
"2103406",25,2018,71.0555258712675
"2103406",33,2018,421.531071953402
"2103406",41,2018,0.623989181505516
"2103406",3,2017,77289.6429791284
"2103406",4,2017,17788.193046615
"2103406",9,2017,161.830968388232
"2103406",11,2017,116.352161939847
"2103406",12,2017,14.4438141076017
"2103406",15,2017,701.627321419645
"2103406",20,2017,140.404775397628
"2103406",21,2017,388.612488465789
"2103406",24,2017,791.628869250151
"2103406",25,2017,64.9923213804338
"2103406",33,2017,392.018677138255
"2103406",39,2017,0.713115467092581
"2103406",41,2017,0.623989181505516
"2103406",3,2019,77325.3010095024
"2103406",4,2019,17528.5847294882
"2103406",9,2019,163.079272571537
"2103406",11,2019,115.1036534753
"2103406",12,2019,15.1571375195377
"2103406",15,2019,743.530392051604
"2103406",20,2019,235.883945124531
"2103406",21,2019,429.886403972587
"2103406",24,2019,794.481923833425
"2103406",25,2019,72.3934933482159
"2103406",33,2019,427.682566992686
"2103406",3,2020,77817.3141587386
"2103406",4,2020,16935.9149967625
"2103406",9,2020,163.525098426115
"2103406",11,2020,112.875394025482
"2103406",12,2020,20.5963078408962
"2103406",15,2020,769.652307518955
"2103406",20,2020,235.973094596499
"2103406",21,2020,463.495918502488
"2103406",24,2020,803.486830614436
"2103406",25,2020,92.0085023231424
"2103406",33,2020,436.241918528859
"2110237",3,1985,35301.6810037526
"2110237",4,1985,56565.5399990395
"2110237",12,1985,955.159347942926
"2110237",15,1985,70.1545240448318
"2110237",21,1985,480.281846652538
"2110237",24,1985,2.23172166803405
"2110237",25,1985,115.31305924223
"2110237",33,1985,22.5823848421218
"2110237",3,1986,35068.6188242226
"2110237",4,1986,56824.0359427004
"2110237",12,1986,899.642861307309
"2110237",15,1986,62.1214859908257
"2110237",21,1986,534.459119478728
"2110237",24,1986,2.23172166803405
"2110237",25,1986,69.0806863485502
"2110237",33,1986,52.7532454711782
"2110237",3,1987,34916.9550885776
"2110237",4,1987,56761.313062035
"2110237",12,1987,996.75030404693
"2110237",15,1987,3.4812951889921
"2110237",21,1987,780.797544402177
"2110237",24,1987,2.23172166803405
"2110237",33,1987,51.4148712752961
"2110237",3,1988,34523.2299145921
"2110237",4,1988,57247.4124271717
"2110237",12,1988,1031.64843943512
"2110237",15,1988,2.14243529375121
"2110237",21,1988,652.275861387339
"2110237",24,1988,2.23172166803405
"2110237",33,1988,54.0030876464743
"2110237",3,1989,34461.9936298102
"2110237",4,1989,57297.4909956959
"2110237",12,1989,1053.15963261271
"2110237",15,1989,0.714145157435164
"2110237",21,1989,645.849561142192
"2110237",24,1989,2.23172166803405
"2110237",33,1989,51.5042011071702
"2110237",3,1990,34243.4759932243
"2110237",4,1990,57776.0959949426
"2110237",12,1990,1080.82734861046
"2110237",21,1990,366.306587485431
"2110237",24,1990,2.23172166803405
"2110237",33,1990,44.0062412646828
"2110237",3,1991,34401.0181990336
"2110237",4,1991,57677.1074596781
"2110237",12,1991,1095.9993884009
"2110237",15,1991,0.535520095226355
"2110237",21,1991,282.405213824249
"2110237",24,1991,2.23172166803405
"2110237",33,1991,53.6463844919214
"2110237",3,1992,34557.9413908484
"2110237",4,1992,57583.1100866482
"2110237",12,1992,1116.260793928
"2110237",15,1992,3.65950144500323
"2110237",21,1992,206.983398080557
"2110237",24,1992,2.23172166803405
"2110237",33,1992,42.7569945747867
"2110237",3,1993,34873.3843756533
"2110237",4,1993,57381.5567408042
"2110237",12,1993,1052.89079830652
"2110237",15,1993,3.65950144500323
"2110237",21,1993,166.193160608734
"2110237",24,1993,2.23172166803405
"2110237",33,1993,33.0275887095785
"2110237",3,1995,35534.0920574602
"2110237",4,1995,56705.8625558075
"2110237",12,1995,1047.1802241511
"2110237",21,1995,89.7914107113549
"2110237",24,1995,3.74928942640852
"2110237",25,1995,126.020068269196
"2110237",33,1995,6.24828136071339
"2110237",3,1996,35529.7181514121
"2110237",4,1996,56704.52364612
"2110237",12,1996,1043.87734539832
"2110237",21,1996,89.7914107113549
"2110237",24,1996,3.74928942640852
"2110237",25,1996,126.020068269196
"2110237",33,1996,15.2639758491658
"2110237",3,1994,35546.5880298888
"2110237",4,1994,56735.316612003
"2110237",12,1994,997.822376961254
"2110237",21,1994,100.412743020311
"2110237",24,1994,2.23172166803405
"2110237",25,1994,125.752321235202
"2110237",33,1994,4.82008240966797
"2110237",3,1997,35716.8930760739
"2110237",4,1997,56567.4194262411
"2110237",12,1997,989.611083354626
"2110237",21,1997,99.6105884329669
"2110237",24,1997,4.46343890736289
"2110237",25,1997,124.324254928847
"2110237",33,1997,10.6220192465395
"2110237",3,1999,35494.6435428503
"2110237",4,1999,57163.7181117674
"2110237",12,1999,702.571583316315
"2110237",15,1999,1.07112465578523
"2110237",21,1999,135.675135855453
"2110237",24,1999,5.62393210329078
"2110237",33,1999,9.64045664628949
"2110237",3,2000,35319.9527417065
"2110237",4,2000,57361.0796470765
"2110237",12,2000,693.825006321916
"2110237",15,2000,2.4993031984942
"2110237",21,2000,127.463852746238
"2110237",24,2000,6.07027568471096
"2110237",33,2000,2.05306046529878
"2110237",3,2001,35018.6861201464
"2110237",4,2001,57653.6870785221
"2110237",12,2001,697.306667511108
"2110237",15,2001,3.57041404033266
"2110237",21,2001,130.320596350249
"2110237",24,2001,6.78442730187327
"2110237",33,2001,1.96377692324799
"2110237",39,2001,0.624806411792524
"2110237",3,2002,34791.9567018042
"2110237",4,2002,57873.0078207947
"2110237",12,2002,695.521891471049
"2110237",15,2002,3.12407837017402
"2110237",21,2002,139.156917804648
"2110237",24,2002,8.12345862459913
"2110237",33,2002,1.42821192724444
"2110237",39,2002,0.624806411792524
"2110237",3,2003,34631.8246440105
"2110237",4,2003,58009.127330758
"2110237",12,2003,667.76483130818
"2110237",15,2003,58.3722454453373
"2110237",21,2003,134.696357826276
"2110237",24,2003,9.46248968024142
"2110237",33,2003,1.69598817424662
"2110237",3,2004,34670.6426256253
"2110237",4,2004,57882.4832963237
"2110237",12,2004,655.627121998459
"2110237",15,2004,139.593387432626
"2110237",21,2004,152.546314583803
"2110237",24,2004,9.99810268117338
"2110237",33,2004,2.05303855801653
"2110237",3,2005,34799.8121023406
"2110237",4,2005,57594.611532119
"2110237",12,2005,652.056785198554
"2110237",15,2005,152.178744494875
"2110237",21,2005,301.519490354297
"2110237",24,2005,10.0873714330753
"2110237",33,2005,2.67786126760002
"2110237",3,1998,36068.6048898632
"2110237",4,1998,56484.7089239657
"2110237",12,1998,792.984002700173
"2110237",21,1998,130.764911541673
"2110237",24,1998,5.08831974771917
"2110237",25,1998,21.152374787293
"2110237",33,1998,9.64046458519436
"2110237",3,2006,34495.1736096735
"2110237",4,2006,57416.6452829362
"2110237",12,2006,794.335566604799
"2110237",15,2006,137.809382384771
"2110237",21,2006,652.912509256598
"2110237",24,2006,10.0873714330753
